index,Format,Year,Units,Revenue,Revenue (Inflation Adjusted)
1,CD,2004,767000000,11446500000,14853200000
2,CD,2005,705400000,10520200000,13203800000
3,CD,2006,619700000,9372600000,11395900000
4,CD,2007,499700000,7452300000,8811900000
5,CD,2008,368400000,5471300000,6229000000
6,CD,2009,296600000,4318800000,4934500000
7,CD,2010,253000000,3389400000,3810100000
8,CD,2011,240800000,3100700000,3378900000
9,CD,2012,198200000,2485600000,2718500000
10,CD,2013,173800000,2140900000,2307700000
11,CD,2014,138700000,1776200000,1884100000
12,CD,2015,117100000,1445000000,1530900000
13,CD,2016,97600000,1130800000,1183100000
14,CD,2017,87700000,1057300000,1083100000
15,CD,2018,52000000,698400000,698400000
16,Download Album,2004,4600000,45500000,59000000
17,Download Album,2005,13600000,135700000,170300000
18,Download Album,2006,27600000,275900000,335500000
19,Download Album,2007,49800000,497400000,588100000
20,Download Album,2008,63600000,635300000,723300000
21,Download Album,2009,74500000,744300000,850400000
22,Download Album,2010,85800000,872400000,980700000
23,Download Album,2011,103900000,1070800000,1166900000
24,Download Album,2012,116700000,1204800000,1317700000
25,Download Album,2013,118000000,1232100000,1328100000
26,Download Album,2014,114200000,1117900000,1185800000
27,Download Album,2015,106800000,1064400000,1127700000
28,Download Album,2016,85100000,868600000,908800000
29,Download Album,2017,66400000,668500000,684800000
30,Download Album,2018,49700000,499700000,499700000
31,Download Music Video,2004,0,0,0
32,Download Music Video,2005,1900000,3700000,4600000
33,Download Music Video,2006,9900000,19700000,24000000
34,Download Music Video,2007,14200000,28200000,33300000
35,Download Music Video,2008,20800000,41300000,47000000
36,Download Music Video,2009,20500000,40900000,46700000
37,Download Music Video,2010,18400000,36600000,41100000
38,Download Music Video,2011,16300000,32400000,35300000
39,Download Music Video,2012,10500000,20800000,22800000
40,Download Music Video,2013,8400000,16700000,18000000
41,Download Music Video,2014,6800000,13600000,14400000
42,Download Music Video,2015,3200000,6400000,6800000
43,Download Music Video,2016,2100000,4300000,4500000
44,Download Music Video,2017,1400000,2800000,2900000
45,Download Music Video,2018,1100000,2200000,2200000
46,Download Single,2004,139400000,138000000,179100000
47,Download Single,2005,366900000,363300000,456000000
48,Download Single,2006,586400000,580600000,705900000
49,Download Single,2007,819400000,811000000,959000000
50,Download Single,2008,1042700000,1032200000,1175100000
51,Download Single,2009,1124400000,1172000000,1339100000
52,Download Single,2010,1177400000,1336400000,1502300000
53,Download Single,2011,1332300000,1522400000,1659000000
54,Download Single,2012,1402700000,1644600000,1798700000
55,Download Single,2013,1332800000,1573400000,1696000000
56,Download Single,2014,1154400000,1355300000,1437600000
57,Download Single,2015,986300000,1185200000,1255700000
58,Download Single,2016,743000000,900200000,941800000
59,Download Single,2017,553500000,678500000,695100000
60,Download Single,2018,399800000,490400000,490400000
61,DVD Audio,2004,300000,6500000,8400000
62,DVD Audio,2005,500000,11200000,14100000
63,DVD Audio,2006,100000,2400000,2900000
64,DVD Audio,2007,200000,2800000,3300000
65,DVD Audio,2008,40000,1200000,1400000
66,DVD Audio,2009,100000,1600000,1800000
67,DVD Audio,2010,40000,900000,1000000
68,DVD Audio,2011,10000,300000,300000
69,DVD Audio,2012,0,200000,200000
70,DVD Audio,2013,-100000,-500000,-500000
71,DVD Audio,2014,100000,2100000,2300000
72,DVD Audio,2015,200000,5400000,5700000
73,DVD Audio,2016,100000,2800000,3000000
74,DVD Audio,2017,100000,2600000,2700000
75,DVD Audio,2018,100000,3300000,3300000
76,Kiosk,2004,0,0,0
77,Kiosk,2005,700000,1000000,1300000
78,Kiosk,2006,1400000,1900000,2300000
79,Kiosk,2007,1800000,2600000,3100000
80,Kiosk,2008,1600000,2600000,3000000
81,Kiosk,2009,1700000,6300000,7200000
82,Kiosk,2010,1700000,6400000,7200000
83,Kiosk,2011,1300000,2700000,2900000
84,Kiosk,2012,2000000,3700000,4000000
85,Kiosk,2013,3700000,6200000,6700000
86,Kiosk,2014,1600000,2600000,2700000
87,Kiosk,2015,2200000,3700000,3900000
88,Kiosk,2016,1700000,2900000,3100000
89,Kiosk,2017,1300000,2300000,2300000
90,Kiosk,2018,1100000,2000000,2000000
91,Limited Tier Paid Subscription,2004,0,0,0
92,Limited Tier Paid Subscription,2005,0,0,0
93,Limited Tier Paid Subscription,2006,0,0,0
94,Limited Tier Paid Subscription,2007,0,0,0
95,Limited Tier Paid Subscription,2008,0,0,0
96,Limited Tier Paid Subscription,2009,0,0,0
97,Limited Tier Paid Subscription,2010,0,0,0
98,Limited Tier Paid Subscription,2011,0,0,0
99,Limited Tier Paid Subscription,2012,0,0,0
100,Limited Tier Paid Subscription,2013,0,0,0
101,Limited Tier Paid Subscription,2014,0,0,0
102,Limited Tier Paid Subscription,2015,0,0,0
103,Limited Tier Paid Subscription,2016,0,263400000,275500000
104,Limited Tier Paid Subscription,2017,0,591600000,606100000
105,Limited Tier Paid Subscription,2018,0,747100000,747100000
106,LP/EP,2004,1400000,19300000,25000000
107,LP/EP,2005,1000000,14200000,17800000
108,LP/EP,2006,900000,15700000,19100000
109,LP/EP,2007,1300000,22900000,27100000
110,LP/EP,2008,2900000,56700000,64600000
111,LP/EP,2009,3500000,63800000,72900000
112,LP/EP,2010,4200000,88900000,99900000
113,LP/EP,2011,5500000,119400000,130100000
114,LP/EP,2012,6900000,160700000,175800000
115,LP/EP,2013,9400000,210700000,227200000
116,LP/EP,2014,10300000,243800000,258700000
117,LP/EP,2015,13700000,333400000,353200000
118,LP/EP,2016,14800000,355400000,371900000
119,LP/EP,2017,15600000,388500000,398000000
120,LP/EP,2018,16700000,419200000,419200000
121,Music Video (Physical),2004,32800000,607200000,787900000
122,Music Video (Physical),2005,33800000,602200000,755800000
123,Music Video (Physical),2006,23200000,451100000,548500000
124,Music Video (Physical),2007,27500000,484900000,573400000
125,Music Video (Physical),2008,13200000,227300000,258800000
126,Music Video (Physical),2009,11600000,209600000,239500000
127,Music Video (Physical),2010,9100000,177600000,199600000
128,Music Video (Physical),2011,7700000,151000000,164500000
129,Music Video (Physical),2012,6000000,116600000,127500000
130,Music Video (Physical),2013,4800000,106300000,114600000
131,Music Video (Physical),2014,4100000,89700000,95200000
132,Music Video (Physical),2015,3100000,70400000,74600000
133,Music Video (Physical),2016,2500000,56900000,59600000
134,Music Video (Physical),2017,1900000,38600000,39600000
135,Music Video (Physical),2018,1400000,27600000,27600000
136,On-Demand Streaming (Ad-Supported),2004,,0,0
137,On-Demand Streaming (Ad-Supported),2005,,0,0
138,On-Demand Streaming (Ad-Supported),2006,,0,0
139,On-Demand Streaming (Ad-Supported),2007,,0,0
140,On-Demand Streaming (Ad-Supported),2008,,0,0
141,On-Demand Streaming (Ad-Supported),2009,,0,0
142,On-Demand Streaming (Ad-Supported),2010,,0,0
143,On-Demand Streaming (Ad-Supported),2011,,113800000,124000000
144,On-Demand Streaming (Ad-Supported),2012,,170900000,187000000
145,On-Demand Streaming (Ad-Supported),2013,,220900000,238100000
146,On-Demand Streaming (Ad-Supported),2014,,283800000,301000000
147,On-Demand Streaming (Ad-Supported),2015,,372000000,394100000
148,On-Demand Streaming (Ad-Supported),2016,,489400000,512000000
149,On-Demand Streaming (Ad-Supported),2017,,658600000,674700000
150,On-Demand Streaming (Ad-Supported),2018,,759500000,759500000
151,Other Ad-Supported Streaming,2004,,0,0
152,Other Ad-Supported Streaming,2005,,0,0
153,Other Ad-Supported Streaming,2006,,0,0
154,Other Ad-Supported Streaming,2007,,0,0
155,Other Ad-Supported Streaming,2008,,0,0
156,Other Ad-Supported Streaming,2009,,0,0
157,Other Ad-Supported Streaming,2010,,0,0
158,Other Ad-Supported Streaming,2011,,0,0
159,Other Ad-Supported Streaming,2012,,0,0
160,Other Ad-Supported Streaming,2013,,0,0
161,Other Ad-Supported Streaming,2014,,0,0
162,Other Ad-Supported Streaming,2015,,0,0
163,Other Ad-Supported Streaming,2016,,81300000,85000000
164,Other Ad-Supported Streaming,2017,,261800000,268200000
165,Other Ad-Supported Streaming,2018,,251400000,251400000
166,Other Digital,2004,0,0,0
167,Other Digital,2005,0,0,0
168,Other Digital,2006,0,0,0
169,Other Digital,2007,0,0,0
170,Other Digital,2008,0,0,0
171,Other Digital,2009,0,0,0
172,Other Digital,2010,0,0,0
173,Other Digital,2011,0,0,0
174,Other Digital,2012,0,0,0
175,Other Digital,2013,0,0,0
176,Other Digital,2014,0,0,0
177,Other Digital,2015,0,0,0
178,Other Digital,2016,0,17100000,17900000
179,Other Digital,2017,0,16900000,17300000
180,Other Digital,2018,0,19800000,19800000
181,Paid Subscription,2004,,0,0
182,Paid Subscription,2005,,149200000,187300000
183,Paid Subscription,2006,,206200000,250700000
184,Paid Subscription,2007,,234000000,276700000
185,Paid Subscription,2008,,221400000,252100000
186,Paid Subscription,2009,,206200000,235600000
187,Paid Subscription,2010,,212400000,238800000
188,Paid Subscription,2011,,247800000,270000000
189,Paid Subscription,2012,,399900000,437400000
190,Paid Subscription,2013,,643300000,693400000
191,Paid Subscription,2014,,770300000,817000000
192,Paid Subscription,2015,,1156700000,1225500000
193,Paid Subscription,2016,,2244200000,2347900000
194,Paid Subscription,2017,,3500600000,3586100000
195,Paid Subscription,2018,,4656000000,4656000000
196,Ringtones & Ringbacks,2004,0,0,0
197,Ringtones & Ringbacks,2005,170000000,421600000,529100000
198,Ringtones & Ringbacks,2006,315000000,773800000,940800000
199,Ringtones & Ringbacks,2007,433800000,1055800000,1248400000
200,Ringtones & Ringbacks,2008,405100000,977100000,1112400000
201,Ringtones & Ringbacks,2009,294300000,702800000,803000000
202,Ringtones & Ringbacks,2010,188500000,448000000,503600000
203,Ringtones & Ringbacks,2011,115400000,276200000,301000000
204,Ringtones & Ringbacks,2012,58800000,146000000,159700000
205,Ringtones & Ringbacks,2013,39400000,98000000,105600000
206,Ringtones & Ringbacks,2014,26600000,66300000,70300000
207,Ringtones & Ringbacks,2015,21900000,54600000,57800000
208,Ringtones & Ringbacks,2016,22600000,56300000,58900000
209,Ringtones & Ringbacks,2017,14300000,35500000,36400000
210,Ringtones & Ringbacks,2018,10000000,25000000,25000000
211,SoundExchange Distributions,2004,0,6900000,9000000
212,SoundExchange Distributions,2005,0,20400000,25600000
213,SoundExchange Distributions,2006,0,32800000,39900000
214,SoundExchange Distributions,2007,0,36200000,42800000
215,SoundExchange Distributions,2008,0,100000000,113800000
216,SoundExchange Distributions,2009,0,155500000,177700000
217,SoundExchange Distributions,2010,0,249200000,280100000
218,SoundExchange Distributions,2011,0,292000000,318200000
219,SoundExchange Distributions,2012,0,462000000,505300000
220,SoundExchange Distributions,2013,0,590400000,636400000
221,SoundExchange Distributions,2014,0,773400000,820300000
222,SoundExchange Distributions,2015,0,802600000,850300000
223,SoundExchange Distributions,2016,0,883900000,924800000
224,SoundExchange Distributions,2017,0,652000000,667900000
225,SoundExchange Distributions,2018,0,952800000,952800000
226,Synchronization,2004,0,0,0
227,Synchronization,2005,0,0,0
228,Synchronization,2006,0,0,0
229,Synchronization,2007,0,0,0
230,Synchronization,2008,0,0,0
231,Synchronization,2009,0,201200000,229900000
232,Synchronization,2010,0,188700000,212100000
233,Synchronization,2011,0,196500000,214100000
234,Synchronization,2012,0,190600000,208500000
235,Synchronization,2013,0,189700000,204500000
236,Synchronization,2014,0,189700000,201200000
237,Synchronization,2015,0,202900000,215000000
238,Synchronization,2016,0,214800000,224800000
239,Synchronization,2017,0,232100000,237800000
240,Synchronization,2018,0,285500000,285500000
241,Vinyl Single,2004,3500000,19900000,25800000
242,Vinyl Single,2005,2300000,13200000,16600000
243,Vinyl Single,2006,1500000,9900000,12000000
244,Vinyl Single,2007,600000,4000000,4700000
245,Vinyl Single,2008,400000,2900000,3300000
246,Vinyl Single,2009,300000,2500000,2900000
247,Vinyl Single,2010,300000,2300000,2600000
248,Vinyl Single,2011,400000,4600000,5000000
249,Vinyl Single,2012,400000,4700000,5200000
250,Vinyl Single,2013,300000,3000000,3200000
251,Vinyl Single,2014,500000,5500000,5800000
252,Vinyl Single,2015,500000,5800000,6100000
253,Vinyl Single,2016,400000,4900000,5100000
254,Vinyl Single,2017,400000,6100000,6200000
255,Vinyl Single,2018,300000,5300000,5300000
